dv.plain	num	OK	Double:0.3333333333333333
dv.castden	num	OK	Double:0.3333333333333333
dv.castnum	num	OK	Double:0.3333333333333333
dv.mul1e0	num	OK	Double:0.3333333333333333
dv.cols	num	OK	Double:33.5
dv.colscast	num	OK	Double:33.5
dv.intcols	num	OK	Double:0.3333333333333333
dv.intcolscast	num	OK	Double:0.3333333333333333
dv.setinc	num	ERR	Catalog Error: unrecognized configuration parameter "div_precision_increment" Did you mean: "disabled_compression_methods"
dv.plain2	num	OK	Double:0.3333333333333333
dv.resetinc	num	ERR	Catalog Error: unrecognized configuration parameter "div_precision_increment" Did you mean: "disabled_compression_methods"
cl.colcmp	coll	OK	Long:0
cl.colcmpbin	coll	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Collation with name utf8mb4_bin does not exist! Did you mean "mt"?
cl.colcmpbin2	coll	ERR	Parser Error: syntax error at or near "name" LINE 1: SELECT COUNT(*) FROM emp WHERE BINARY name = 'ALICE' ^
cl.ddl	coll	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Collation with name utf8mb4_nopad_bin does not exist! Did you mean "bn"?
cl.ins	coll	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Table with name cs does not exist! Did you mean "pg_constraint"?
cl.cmp	coll	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Table with name cs does not exist! Did you mean "pg_constraint"? LINE 1: SELECT COUNT(*) FROM cs WHERE s = '...
cl.pad	coll	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Table with name cs does not exist! Did you mean "pg_constraint"? LINE 1: SELECT COUNT(*) FROM cs WHERE s = '...
cl.order	coll	OK	String:B,a
cl.orderfix	coll	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Collation with name utf8mb4_bin does not exist! Did you mean "mt"?
bt.raw	rtype	OK	JsonNode:{"n":3}
bt.cast	rtype	OK	String:{"n":3}
bt.convert	rtype	ERR	Parser Error: syntax error at or near "USING" LINE 1: ...ELECT CONVERT(JSON_OBJECT('n',(SELECT COUNT(*) FROM proj)) USING utf8mb4) ^
bt.concatws	rtype	OK	String:{"n":3}
bt.coalesce	rtype	OK	JsonNode:{"n":3}
bt.envcast	rtype	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_arrayagg does not exist! Did you mean "json_array"? LINE 1: SELECT CAST(COALE...
bt.envraw	rtype	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_arrayagg does not exist! Did you mean "json_array"? LINE 1: SELECT COALESCE(J...
bt.subint	rtype	OK	String:x5
bt.subintcast	rtype	OK	String:x5
bt.plainint	rtype	OK	String:x5
no.rank	win	OK	Long:5
no.rankfix	win	OK	Long:5
no.rankdesc	win	OK	Long:5
no.rankdescfix	win	OK	Long:4
no.obasc	win	OK	String:1,1,2,2,N
no.obascfix	win	OK	String:1,1,2,2,N
no.obdesc	win	OK	String:2,2,1,1,N
no.obdescfix	win	OK	String:N,2,2,1,1
tz.ddl	type	OK	<nors>
tz.ins	type	OK	<nors>
tz.utc	type	ERR	Catalog Error: unrecognized configuration parameter "time_zone" Did you mean: "TimeZone"
tz.readts	type	OK	Timestamp:2020-06-15 12:00:00.0
tz.readdt	type	OK	Timestamp:2020-06-15 12:00:00.0
tz.convert	type	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name convert_tz does not exist! Did you mean "cot"? LINE 1: SELECT CONVERT_TZ(TIMESTAMP...
tz.convertname	type	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name convert_tz does not exist! Did you mean "cot"? LINE 1: SELECT CONVERT_TZ(TIMESTAMP...
tz.tsdiff	type	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name timestampdiff does not exist! Did you mean "to_timestamp"? LINE 1: SELECT TIMESTAM...
tz.utcts	type	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name utc_timestamp does not exist! Did you mean "to_timestamp"? LINE 1: SELECT UTC_TIME...
tz.reset	type	ERR	Catalog Error: unrecognized configuration parameter "time_zone" Did you mean: "TimeZone"
ab.label256	alias	ERR	Parser Error: syntax error at or near "`" LINE 1: SELECT 1 AS `aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa... ^
ab.subalias	alias	ERR	Parser Error: syntax error at or near "`" LINE 1: SELECT COUNT(*) FROM (SELECT 1) AS `aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa... ^
ec.dept3	graph	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_arrayagg does not exist! Did you mean "json_array"? LINE 1: SELECT COALESCE((...
ec.nullinner	graph	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_arrayagg does not exist! Did you mean "json_array"? LINE 1: SELECT JSON_OBJEC...
ec.nullinner2	graph	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_arrayagg does not exist! Did you mean "json_array"? LINE 1: SELECT JSON_OBJEC...
ec.jsonarrayempty	graph	OK	JsonNode:[]
ec.jsonlit	graph	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_compact does not exist! Did you mean "json_merge_patch"? LINE 1: SELECT JSON_...
